BAS_SCENARIO,BAS_GRP_CD,BAS_RSN_CD,BAS_CONTR_PYR,BAS_CHG_IND,BAS_NEW_GRP_CD,BAS_NEW_RSN_CD
0,OA,209,Y,MOD,PR,2
0,OA,21,Y,MOD,PR,2
0,OA,210,Y,MOD,PR,2
0,OA,211,Y,MOD,PR,2
0,OA,212,Y,MOD,PR,2
0,OA,213,Y,MOD,PR,2
0,OA,214,Y,MOD,PR,2
0,OA,215,Y,MOD,PR,2
0,OA,216,Y,MOD,PR,2
0,OA,217,Y,MOD,PR,2
0,OA,218,Y,MOD,PR,2
0,OA,219,Y,MOD,PR,2
0,OA,22,Y,MOD,PR,2
0,OA,220,Y,MOD,PR,2
0,OA,221,Y,MOD,PR,2
0,OA,222,Y,MOD,PR,2
0,OA,223,Y,MOD,PR,2
0,OA,224,Y,MOD,PR,2
0,OA,225,Y,MOD,PR,2
0,OA,226,Y,MOD,PR,2
0,OA,227,Y,MOD,PR,2
0,OA,228,Y,MOD,PR,2
0,OA,229,Y,MOD,PR,2
0,OA,23,Y,MOD,PR,2
0,OA,230,Y,MOD,PR,2
0,OA,231,Y,MOD,PR,2
0,OA,232,Y,MOD,PR,2
0,OA,233,Y,MOD,PR,2
0,OA,234,Y,MOD,PR,2
0,OA,235,Y,MOD,PR,2
0,OA,236,Y,MOD,PR,2
0,OA,237,Y,MOD,PR,2
0,OA,238,Y,MOD,PR,2
0,OA,239,Y,MOD,PR,2
0,OA,24,Y,MOD,PR,2
0,OA,240,Y,MOD,PR,2
0,OA,241,Y,MOD,PR,2
0,OA,242,Y,MOD,PR,2
0,OA,243,Y,MOD,PR,2
0,OA,244,Y,MOD,PR,2
0,OA,245,Y,MOD,PR,2
0,OA,246,Y,MOD,PR,2
0,OA,247,Y,MOD,PR,2
0,OA,248,Y,MOD,PR,2
0,OA,249,Y,MOD,PR,2
0,OA,25,Y,MOD,PR,2
0,OA,250,Y,MOD,PR,2
0,OA,251,Y,MOD,PR,2
0,OA,252,Y,MOD,PR,2
0,OA,26,Y,MOD,PR,2
0,OA,27,Y,MOD,PR,2
0,OA,28,Y,MOD,PR,2
0,OA,29,Y,MOD,PR,2
0,OA,3,Y,MOD,PR,2
0,OA,30,Y,MOD,PR,2
0,OA,31,Y,MOD,PR,2
0,OA,32,Y,MOD,PR,2
0,OA,33,Y,MOD,PR,2
0,OA,34,Y,MOD,PR,2
0,OA,35,Y,MOD,PR,2
0,OA,36,Y,MOD,PR,2
0,OA,37,Y,MOD,PR,2
0,OA,38,Y,MOD,PR,2
0,OA,39,Y,MOD,PR,2
0,OA,4,Y,MOD,PR,2
0,OA,40,Y,MOD,PR,2
0,OA,41,Y,MOD,PR,2
0,OA,42,Y,MOD,PR,2
0,OA,43,Y,MOD,PR,2
0,OA,44,Y,MOD,PR,2
0,OA,45,Y,MOD,PR,2
0,OA,46,Y,MOD,PR,2
0,OA,47,Y,MOD,PR,2
0,OA,48,Y,MOD,PR,2
0,OA,49,Y,MOD,PR,2
0,OA,5,Y,MOD,PR,2
0,OA,50,Y,MOD,PR,2
0,OA,51,Y,MOD,PR,2
0,OA,52,Y,MOD,PR,2
0,OA,53,Y,MOD,PR,2
0,OA,54,Y,MOD,PR,2
0,OA,55,Y,MOD,PR,2
0,OA,56,Y,MOD,PR,2
0,OA,57,Y,MOD,PR,2
0,OA,58,Y,MOD,PR,2
0,OA,59,Y,MOD,PR,2
0,OA,6,Y,MOD,PR,2
0,OA,60,Y,MOD,PR,2
0,OA,61,Y,MOD,PR,2
0,OA,62,Y,MOD,PR,2
0,OA,63,Y,MOD,PR,2
0,OA,64,Y,MOD,PR,2
